SA2 Code 2016,SA2 Name,median_age,population,median_weekly_personal_income,average_life_satisfaction_score,percent_unemployed,homeless_rate,housing_stress_30_40_rule,gini_coefficient,poverty_rate,ier_score,percent_nonreligious,percent_citizenship,sentiment,counts,suburb_code
314031394,Strathpine - Brendale,36,12258,636,77.78145330245893,8.7,0.0053026594876815145,19.2,0.2561939,16.0,957,26.7,44,0.2939175675675676,74,314031394
314031393,Petrie,36,8698,727,78.2510487253953,7.4,0.0010347206254311336,15.2,0.25361102999999996,12.0,1024,32.0,33,0.3543454545454546,11,314031393
314031392,Lawnton,36,6005,628,77.59348474420739,8.9,0.0013322231473771858,18.6,0.2599880400000003,16.0,959,29.1,43,0.12018947368421051,19,314031392
314031391,Bray Park,34,10268,674,78.22518559252131,8.1,0.0033112582781456954,15.9,0.24623589000000096,14.0,1004,24.6,37,0.29035833333333333,12,314031391
314021390,North Lakes - Mango Hill,31,30126,786,78.21546299071022,7.5,0.000365133107614685,16.7,0.25230515,12.0,1043,30.8,49,0.1780932754880694,922,314021390
314021389,Murrumba Downs - Griffin,31,17503,786,78.34365964477489,6.4,0.00017139918871050678,16.8,0.261307,12.0,1031,28.7,46,0.19337083333333335,24,314021389
314021388,Dakabin - Kallangur,33,23918,673,77.57991681521094,9.1,0.0016305711179864537,20.1,0.25083736,17.0,963,29.0,47,0.3335302083333334,96,314021388
314011387,Samford Valley,43,11737,785,79.75694030739902,4.6,0.0023856181306977932,12.2,0.3196876000000015,9.0,1156,37.2,25,0.2574795918367347,98,314011387
314011384,Dayboro,42,8497,738,79.3614153327717,4.3,0.0016476403436507003,14.3,0.2891567300000003,10.0,1119,34.6,26,0.28601007751937985,129,314011384
314011383,Cashmere,32,18770,841,79.33148467361163,5.1,0.0017048481619605753,13.1,0.25127742,9.0,1114,22.9,32,0.18557142857142855,35,314011383
314011382,Albany Creek,40,15812,778,79.38778990450204,4.8,0.0005691879585125221,10.2,0.28007174,7.0,1093,27.4,29,0.06965272727272727,55,314011382
314011386,The Hills District,37,23368,829,79.06025232873482,5.0,0.0010698390961999314,11.5,0.27028653,8.0,1076,34.0,32,0.2856071428571429,42,314011386
314011385,Eatons Hill,36,7967,878,79.44847092098286,4.9,0.0011296598468683318,10.9,0.26479579999999997,7.0,1141,30.8,27,0.12960754716981132,53,314011385
313051542,Scarborough - Newport - Moreton Island,48,12254,663,78.56136488717667,6.3,0.003509058266688428,14.6,0.3282020000000003,13.0,1013,30.5,32,0.3474121387283237,173,313051542
