SA2 Code 2016,SA2 Name,median_age,population,median_weekly_personal_income,average_life_satisfaction_score,percent_unemployed,homeless_rate,housing_stress_30_40_rule,gini_coefficient,poverty_rate,ieo_score,percent_nonreligious,percent_citizenship,sentiment,counts,suburb_code
503011030,City Beach,45,6611,990,80.69138906348209,5.3,0.0007563152321887763,7.9,0.3474763000000011,6.9,1172,34.4,26.6,0.28527083333333336,120,503011030
503011031,Claremont (WA),43,8126,953,79.15087840165346,6.3,0.0011075559931085406,12.6,0.3174086500000011,8.8,1167,36.4,38.1,0.2479375,88,503011031
503011032,Cottesloe,41,7363,1193,80.15078291127006,4.7,0.0009506994431617547,10.2,0.33513585,5.5,1193,42.7,34.5,0.2206040650406504,123,503011032
503011033,Floreat,39,7865,1027,80.02002913328478,5.2,0.0,8.5,0.3583328000000011,7.4,1173,33.3,27.3,0.09118867924528302,53,503011033
503011034,Mosman Park - Peppermint Grove,40,10399,890,79.00426938438231,5.9,0.0010577940186556399,14.3,0.383181720000001,12.3,1151,35.6,35.5,0.23297093023255822,86,503011034
503011035,Nedlands - Dalkeith - Crawley,35,18506,646,78.96514827269948,9.3,0.001458986274721712,14.4,0.39957625,13.5,1184,37.7,46.3,0.23764934497816595,229,503011035
503011036,Swanbourne - Mount Claremont,41,8658,927,80.21433355659745,5.1,0.0005775005775005775,10.2,0.387361020000001,7.9,1174,31.3,27.7,0.25826358974358976,195,503011036
503021038,Mount Hawthorn - Leederville,35,10716,1079,78.39707609972588,5.7,0.009238521836506159,14.3,0.3068915000000003,8.1,1133,37.6,34.6,0.2361951086956522,184,503021038
503021039,Mount Lawley - Inglewood,36,16533,902,78.1375094213215,6.0,0.0028427992499848787,15.9,0.3300295000000015,9.9,1124,35.1,35.5,0.1775094043887147,319,503021039
503021040,North Perth,37,8815,931,78.02426882389545,5.9,0.001474758933635848,15.0,0.3175057200000003,8.9,1115,32.0,29.5,0.13171182266009854,203,503021040
503021041,Perth City,34,31302,1002,76.9738800920287,7.6,0.020477924733243884,20.8,0.3221956800000003,12.9,1123,38.5,62.8,0.25459095975232193,9690,503021041
503021042,Subiaco - Shenton Park,39,16433,1024,78.47174115062938,5.8,0.0022515669689040347,12.7,0.3119709200000018,8.8,1170,39.1,40.7,0.22579642512077294,1035,503021042
503021043,Wembley - West Leederville - Glendalough,35,17851,870,77.99509648845302,6.8,0.002744944260825724,16.9,0.3177063200000003,10.3,1115,28.3,51.7,0.27355033112582783,151,503021043
504011044,Bassendean - Eden Hill - Ashfield,38,15096,722,77.86570527264533,7.9,0.006425543190249072,19.3,0.3049283000000018,15.2,1016,28.6,35.1,0.2500560975609756,41,504011044
504011045,Bayswater - Embleton - Bedford,38,22953,771,77.78234698134573,7.3,0.002962575698165817,17.6,0.315908040000001,13.3,1055,30.0,37.1,0.18895977011494255,87,504011045
504011046,Maylands,34,12688,869,76.93603050201229,7.7,0.00496532156368222,21.9,0.3234553300000003,15.0,1074,29.2,51.0,0.2715447368421053,76,504011046
504011047,Morley,37,21710,617,77.40787878787879,9.0,0.003592814371257485,20.6,0.2898698400000003,16.1,971,22.4,38.6,0.20756666666666665,222,504011047
504011048,Noranda,44,8013,634,78.5709661757566,7.5,0.0,14.7,0.2940402000000003,13.6,1004,17.1,23.5,0.5254,9,504011048
504021049,Chidlow,37,4705,648,78.58021769995267,6.7,0.0,22.0,0.3021939,20.2,968,21.9,18.5,0.6465333333333333,6,504021049
504021050,Glen Forrest - Darlington,44,7061,723,79.61650203370134,6.0,0.001557852995326441,15.5,0.322873560000002,8.8,1097,39.5,22.0,0.23725882352941177,51,504021050
504021051,Helena Valley - Koongamia,39,5329,719,79.16795069337442,7.3,0.0015012197410395947,17.1,0.2889602800000011,13.4,986,30.5,28.2,0.41551111111111116,9,504021051
504021053,Mundaring,43,12873,670,79.27298413388394,6.6,0.0009321836401771149,17.4,0.28769195,11.6,1007,36.8,25.1,0.29209000000000007,20,504021053
504021054,Swan View - Greenmount - Midvale,42,12063,624,78.27412305278494,9.6,0.0037304153195722458,20.1,0.2965977800000003,17.5,926,26.2,34.6,0.20367619047619046,21,504021054
504031056,Ballajura,35,18783,616,78.16423726367441,9.1,0.0021828248948517277,21.4,0.28411496000000136,18.2,936,18.4,29.2,0.22366666666666668,33,504031056
504031057,Beechboro,33,18086,651,77.92680986475736,8.9,0.00259869512329979,23.5,0.2826967,19.5,929,14.7,31.6,0.2581826086956522,92,504031057
504031058,Bullsbrook,38,5154,723,78.2467718794835,6.8,0.0011641443538998836,18.9,0.3005764800000015,14.5,928,36.4,34.5,0.3402,12,504031058
504031059,Ellenbrook,30,36111,791,78.67712815321016,8.0,0.0011907728946858299,27.8,0.26834512,16.7,967,23.8,42.1,0.1927940740740741,135,504031059
504031060,Gidgegannup,44,2731,754,80.17355793772333,5.8,0.0,19.1,0.3149279400000013,10.8,1019,37.4,23.2,0.23643333333333336,6,504031060
504031061,Hazelmere - Guildford,38,4181,752,78.41876046901173,7.2,0.005740253527864147,19.9,0.3080563200000003,13.2,995,32.3,36.4,0.06084375,16,504031061
504031062,Lockridge - Kiara,33,10585,686,77.84152643434477,8.1,0.0034955125177137457,23.5,0.28842482000000136,17.2,950,17.9,36.6,0.426424358974359,78,504031062
504031065,Middle Swan - Herne Hill,39,5400,605,77.98969072164948,9.7,0.0038888888888888888,20.8,0.28980640000000135,18.5,926,21.3,35.8,0.21669285714285716,70,504031065
504031066,Midland - Guildford,39,10675,625,76.57979094076656,11.1,0.007213114754098361,24.9,0.311322180000002,19.6,949,24.3,46.2,0.2103496240601504,133,504031066
504031067,Stratton - Jane Brook,33,6856,727,78.2110949511739,8.3,0.0010210035005834305,23.2,0.27977002,17.4,931,25.4,38.3,0.5202666666666667,3,504031067
504031068,The Vines,34,9928,840,79.6675339693553,6.8,0.0024174053182917004,22.6,0.3310682000000015,12.0,1013,26.3,35.7,0.1906987341772152,79,504031068
505011070,Craigie - Beldon,34,9803,750,78.13575927221834,7.9,0.0017341630113230644,22.4,0.2849579000000003,15.1,983,34.1,36.0,0.16417142857142858,35,505011070
505011071,Currambine - Kinross,35,13817,746,78.90973381789608,7.9,0.00021712383295939786,18.6,0.26106748,11.8,1016,29.4,32.4,0.44091875,16,505011071
505011072,Duncraig,41,15238,798,79.64009111617312,6.1,0.00045937787111169446,12.2,0.28865853,7.4,1096,31.0,25.4,0.115125,32,505011072
505011073,Greenwood - Warwick,40,13330,730,79.01958794275855,7.1,0.0006001500375093774,16.4,0.284578320000001,10.8,1030,32.0,33.2,0.3886304347826087,23,505011073
