SA2 Code 2016,SA2 Name,median_age,population,median_weekly_personal_income,average_life_satisfaction_score,percent_unemployed,homeless_rate,housing_stress_30_40_rule,gini_coefficient,poverty_rate,ier_score,percent_nonreligious,percent_citizenship,sentiment,counts,suburb_code
404031108,Richmond (SA),36,16449,586,76.58277094084954,7.8,0.0062617788315399115,21.5,0.3098560600000012,19.4,923,27.8,44.3,0.2146836715892745,220,404031108
404031107,Plympton,37,24197,611,77.28494183188596,7.9,0.0026862834235649048,20.0,0.28883216000000067,17.6,944,25.7,51.1,0.4732622633759594,301,404031107
404031106,Lockleys,39,12693,638,77.72685515974278,7.2,0.0027574253525565274,17.4,0.2937216800000003,15.7,972,19.2,41.1,0.373464731123021,41,404031106
404021101,Port Adelaide,41,10757,518,76.45917740945366,10.1,0.0046481360974249325,23.4,0.2858563000000008,23.7,894,19.1,28.4,0.27996659933332335,210,404021101
404021100,North Haven,44,14232,590,77.8426862925483,7.7,0.0013350196739741428,17.8,0.28264865,17.5,955,29.0,28.8,0.14143655242850575,94,404021100
404021099,Largs Bay - Semaphore,43,14504,703,77.54970544918999,6.9,0.002344180915609487,18.2,0.2832085800000003,14.7,967,36.2,29.7,0.3575600857561847,302,404021099
404021102,The Parks,36,18444,433,76.84147119268656,12.9,0.011168943829971807,24.5,0.2844612,27.9,869,16.6,32.9,0.1408208035370702,71,404021102
404011096,West Lakes,49,14359,653,78.60853266690468,5.5,0.0020196392506441952,12.5,0.29572946000000067,11.1,1000,24.1,25.8,0.3805873012388251,109,404011096
404011095,Seaton - Grange,43,16297,583,77.42029928432011,7.1,0.0028226053874946307,17.1,0.29306594,16.5,953,17.0,27.0,0.37702306558153703,272,404011095
404011094,Royal Park - Hendon - Albert Park,39,5844,578,76.82281059063136,8.0,0.007186858316221766,18.6,0.2851944,17.7,925,14.9,25.3,0.31790468482993217,200,404011094
404011093,Hindmarsh - Brompton,37,17579,605,76.78100263852242,7.9,0.00938619944251664,21.3,0.3034502600000009,20.4,934,25.9,37.2,0.40380126347389234,572,404011093
404011092,Henley Beach,43,14843,679,78.39516975848792,5.8,0.0008084619012329044,14.3,0.2891036,12.1,1009,21.9,31.8,0.2609644301061603,320,404011092
