SA2 Code 2016,SA2 Name,median_age,population,median_weekly_personal_income,average_life_satisfaction_score,percent_unemployed,homeless_rate,housing_stress_30_40_rule,gini_coefficient,poverty_rate,ier_score,percent_nonreligious,percent_citizenship,sentiment,counts,suburb_code
128021609,Woronora Heights,40,3658,860,80.33523537803138,2.7,0.0,9.6,0.2669926600000003,6.9,1171,27.7,21.2,0.5778136070326255,2,128021609
128021608,Loftus - Yarrawarrah,39,7249,814,79.89561975768872,3.1,0.0,10.8,0.25925797,6.9,1117,28.9,22.7,-0.014533467009462786,6,128021608
128021607,Engadine,38,17012,802,79.58391579639832,3.1,0.00047025628967787447,13.3,0.2524805400000003,8.2,1097,27.1,27.5,-0.09829651941380259,24,128021607
128021538,Sutherland - Kirrawee,38,20869,835,77.93517250375008,4.0,0.0024917341511332598,17.3,0.2756219000000003,11.0,1017,28.3,34.7,0.18498121481341023,65,128021538
128021536,Oyster Bay - Como - Jannali,40,21208,857,79.35948393822898,3.5,0.001037344398340249,12.6,0.29761404,8.4,1118,31.4,25.6,0.3629873878707306,60,128021536
128021535,Menai - Lucas Heights - Woronora,39,21136,838,79.37665615141955,3.7,0.0009462528387585163,13.0,0.28394106,8.7,1128,22.3,20.3,0.184040926630766,18,128021535
128021534,Illawong - Alfords Point,42,10365,840,79.28940886699507,3.6,0.0025084418716835506,10.6,0.3060533700000003,8.3,1158,18.9,15.1,0.3897233215536698,3,128021534
128021533,Heathcote - Waterfall,41,6504,765,79.67151767151768,3.8,0.0,19.3,0.3242112000000003,16.6,1082,27.4,25.1,0.1177983964767098,47,128021533
128011606,Woolaware - Burraneer,40,7747,917,79.8795601326584,2.7,0.00258164450755131,11.8,0.3101377,7.9,1126,29.2,26.0,0.27047980699730984,15,128011606
128011605,Lilli Pilli - Port Hacking - Dolans Bay,41,3163,973,80.8375850340136,2.1,0.0,8.8,0.34158775,7.9,1190,22.1,18.9,-0.1014355620668698,5,128011605
128011604,Cronulla - Kurnell - Bundeena,40,23476,957,78.64253650775612,3.4,0.001789061168853297,17.1,0.2973912,10.1,1036,31.6,38.1,0.32456943830610274,301,128011604
